corner_id,match_id,time,team_taking,is_inswing,delivery_target,outcome,is_shot,is_clearance,is_goal,winning_duel_id,header_location_x,header_location_y
1,1,3.41,b'Austria Klagenfurt',False,far post,no outcome,False,False,False,206113.0,74.87,48.46
2,1,4.3,b'Austria Klagenfurt',True,far post,goal,True,False,True,197756.0,3.11,34.54
3,1,81.7,b'Austria Klagenfurt',False,penalty spot,foul,False,False,False,193260.0,75.07,43.01
4,1,51.49,b'Austria Klagenfurt',True,near post,shot,True,False,False,265525.0,58.5,14.94
5,1,73.19,b'Napoli',False,near post,clearance,False,True,False,270136.0,30.63,47.28
11,2,45.42,b'Corinthians',True,near post,foul,False,False,False,202512.0,14.62,12.51
12,2,71.37,b'Corinthians',True,near post,goal,True,False,True,212151.0,41.18,48.56
13,2,59.85,b'Corinthians',True,penalty spot,clearance,False,True,False,254121.0,84.69,18.71
14,2,65.81,b'Corinthians',True,far post,shot,True,False,False,223113.0,64.28,2.47
21,3,49.6,b'FSV Mainz 05',False,penalty spot,foul,False,False,False,230369.0,94.35,12.61
31,4,32.61,b'VfL Bochum 1848',False,far post,clearance,False,True,False,254480.0,95.18,8.32
32,4,1.74,b'WSG Tirol',True,penalty spot,shot,True,False,False,250931.0,49.41,11.43
33,4,89.49,b'WSG Tirol',False,far post,clearance,False,True,False,213750.0,28.59,1.63
34,4,82.38,b'WSG Tirol',True,penalty spot,no outcome,False,False,False,264645.0,56.58,3.12
41,5,51.75,b'TSG Hoffenheim',True,penalty spot,goal,True,False,True,230281.0,39.6,30.1
42,5,86.91,b'Crystal Palace',True,far post,no outcome,False,False,False,220018.0,59.14,46.4
51,6,24.73,b'Bologna',True,near post,shot,True,False,False,212096.0,0.7,1.83
52,6,42.99,b'Bologna',True,penalty spot,clearance,False,True,False,203376.0,28.92,29.08
61,7,74.04,b'WSG Tirol',True,far post,shot,True,False,False,222493.0,45.49,29.06
62,7,5.5,b'SV Werder Bremen',True,penalty spot,shot,True,False,False,267867.0,94.38,7.66
71,8,54.52,b'Clube Atl\xe9tico Mineiro',True,far post,clearance,False,True,False,252903.0,55.69,16.54
72,8,56.3,b'PFC CSKA Moscow',True,near post,no outcome,False,False,False,223868.0,18.72,48.39
73,8,11.62,b'Clube Atl\xe9tico Mineiro',True,penalty spot,shot,True,False,False,235194.0,89.95,24.97
81,9,50.85,b'RB Leipzig',True,penalty spot,shot,True,False,False,231352.0,33.1,19.89
82,9,86.3,b'RB Leipzig',True,far post,shot,True,False,False,244284.0,31.97,36.43
83,9,87.73,b'RB Leipzig',True,penalty spot,no outcome,False,False,False,256345.0,18.12,26.81
84,9,59.63,b'RB Leipzig',True,penalty spot,clearance,False,True,False,220697.0,36.65,31.2
91,10,65.77,b'Everton',True,far post,shot,True,False,False,237916.0,8.41,9.78
92,10,16.52,b'SC Rheindorf Altach',True,penalty spot,goal,True,False,True,230218.0,88.98,41.97
93,10,48.52,b'Everton',False,far post,foul,False,False,False,262930.0,0.21,32.87
94,10,11.6,b'Everton',True,far post,clearance,False,True,False,240044.0,87.96,10.36
95,10,52.68,b'SC Rheindorf Altach',True,near post,clearance,False,True,False,255206.0,33.37,46.48
101,11,41.27,b'Hertha BSC',False,far post,shot,True,False,False,210880.0,95.13,5.29
102,11,62.71,b'SV Mattersburg',True,near post,foul,False,False,False,258316.0,23.4,37.06
111,12,43.98,b'Schalke 04',True,near post,clearance,False,True,False,264260.0,24.89,17.97
112,12,66.58,b'Schalke 04',True,far post,clearance,False,True,False,210366.0,35.98,12.1
113,12,74.59,b'Schalke 04',False,far post,clearance,False,True,False,264298.0,99.43,12.67
114,12,82.39,b'Sassuolo',True,far post,clearance,False,True,False,238637.0,73.82,30.02
115,12,32.99,b'Schalke 04',False,penalty spot,goal,True,False,True,230233.0,11.4,16.07
121,13,26.64,b'Manchester City',False,near post,clearance,False,True,False,237595.0,48.97,21.74
122,13,87.28,b'Manchester City',True,penalty spot,foul,False,False,False,260929.0,8.69,42.33
123,13,62.98,b'Crotone',True,near post,foul,False,False,False,263455.0,51.77,16.83
