freekick_id,match_id,time,team_taking,freekick_type,location_x,location_y,delivery_target,outcome,is_shot,is_clearance,is_goal,winning_duel_id,contact_location_x,contact_location_y
1,1,50.85,Austria Klagenfurt,direct,20.94,20.52,far post,clearance,False,True,False,186345.0,58.75,3.94
11,2,24.96,Hertha BSC,indirect,37.75,45.99,near post,clearance,False,True,False,236838.0,76.4,10.7
12,2,89.34,Corinthians,indirect,76.74,27.74,near post,second ball,False,False,False,254470.0,9.62,10.0
21,3,49.22,Kaizer Chiefs,layoff,66.75,9.48,far post,second ball,False,False,False,116314.0,54.48,35.66
22,3,38.73,FSV Mainz 05,cross,94.53,3.85,penalty spot,second ball,False,False,False,270948.0,85.49,40.77
23,3,31.45,FSV Mainz 05,direct,77.76,40.06,edge box,clearance,False,True,False,230334.0,80.34,34.5
31,4,25.24,VfL Bochum 1848,cross,70.93,5.82,penalty spot,clearance,False,True,False,264260.0,38.77,29.98
32,4,84.41,VfL Bochum 1848,cross,26.09,34.78,penalty spot,second ball,False,False,False,239841.0,90.02,20.78
41,5,86.05,TSG Hoffenheim,direct,55.24,23.28,edge box,clearance,False,True,False,255360.0,27.82,48.17
42,5,24.21,Crystal Palace,direct,7.08,5.8,penalty spot,no outcome,False,False,False,262936.0,25.12,15.77
43,5,81.47,TSG Hoffenheim,direct,21.74,27.35,near post,clearance,False,True,False,228205.0,76.07,3.83
51,6,42.45,Bologna,cross,93.87,9.75,near post,goal,True,False,True,189485.0,69.95,2.05
61,7,60.05,WSG Tirol,indirect,13.39,23.64,far post,clearance,False,True,False,219911.0,72.11,24.38
62,7,19.16,SV Werder Bremen,layoff,84.99,18.04,near post,shot,True,False,False,264371.0,96.78,2.73
63,7,71.15,SV Werder Bremen,layoff,77.8,24.8,far post,no outcome,False,False,False,233419.0,93.84,19.82
64,7,80.86,WSG Tirol,cross,26.61,10.32,far post,clearance,False,True,False,263092.0,89.21,49.54
71,8,33.8,Clube Atlético Mineiro,layoff,77.44,15.93,edge box,no outcome,False,False,False,210008.0,1.75,30.42
81,9,18.26,Orlando Pirates,layoff,39.02,9.62,penalty spot,second ball,False,False,False,251852.0,1.65,13.73
82,9,38.38,RB Leipzig,layoff,80.62,13.54,penalty spot,clearance,False,True,False,215522.0,49.86,37.15
83,9,9.11,Orlando Pirates,indirect,70.93,27.38,edge box,clearance,False,True,False,259403.0,48.55,8.87
84,9,55.33,RB Leipzig,direct,77.31,28.45,edge box,clearance,False,True,False,235022.0,33.78,12.3
85,9,8.87,Orlando Pirates,indirect,66.79,36.0,penalty spot,second ball,False,False,False,239322.0,11.99,29.7
91,10,12.7,SC Rheindorf Altach,direct,10.21,3.27,near post,clearance,False,True,False,251229.0,17.71,32.71
92,10,14.89,Everton,cross,0.81,2.25,near post,clearance,False,True,False,219661.0,47.98,40.07
101,11,69.68,Hertha BSC,direct,44.37,2.73,near post,clearance,False,True,False,264561.0,56.73,40.25
102,11,34.89,SV Mattersburg,layoff,71.15,0.86,edge box,second ball,False,False,False,263522.0,60.2,4.33
111,12,54.6,Sassuolo,indirect,86.61,2.48,far post,clearance,False,True,False,265187.0,14.25,14.26
112,12,28.82,Schalke 04,indirect,45.55,22.01,edge box,clearance,False,True,False,247257.0,64.22,3.46
113,12,80.71,Sassuolo,layoff,40.07,10.21,far post,clearance,False,True,False,179844.0,11.85,45.64
121,13,63.73,Crotone,direct,81.38,0.76,far post,second ball,False,False,False,230234.0,10.96,36.09
122,13,11.76,Manchester City,indirect,30.14,40.64,far post,goal,True,False,True,192732.0,24.5,6.02
123,13,57.41,Manchester City,indirect,92.44,19.85,edge box,clearance,False,True,False,230248.0,87.95,47.35
124,13,23.53,Manchester City,direct,86.75,21.88,penalty spot,clearance,False,True,False,208335.0,64.87,33.23
125,13,62.91,Manchester City,indirect,50.73,44.17,near post,shot,True,False,False,193091.0,83.72,45.2
131,14,28.1,Milan,indirect,98.16,42.54,edge box,shot,True,False,False,236832.0,36.68,35.27
132,14,26.79,Milan,cross,27.85,10.51,edge box,goal,True,False,True,259014.0,71.83,19.15
133,14,27.41,Schalke 04,direct,8.03,2.46,penalty spot,clearance,False,True,False,243154.0,48.2,27.34
134,14,89.32,Milan,indirect,93.29,6.62,edge box,shot,True,False,False,188988.0,58.02,48.27
141,15,8.25,Wattens,cross,75.17,6.4,penalty spot,no outcome,False,False,False,184344.0,36.1,25.04
142,15,63.41,Wattens,direct,13.98,5.15,near post,second ball,False,False,False,173306.0,86.62,34.15
143,15,88.28,Torino,direct,45.42,47.93,near post,clearance,False,True,False,190592.0,15.43,26.44
151,16,32.09,VfL Bochum 1848,layoff,26.46,42.24,edge box,second ball,False,False,False,227927.0,14.68,17.64
152,16,9.67,VfL Bochum 1848,layoff,8.8,29.69,edge box,shot,True,False,False,264409.0,32.5,25.99
