corner_id,freekick_id,defender_id,attacker_id,marking_type
1.0,,200752.0,255700.0,man-marking
1.0,,231485.0,262384.0,man-marking
1.0,,244263.0,238989.0,man-marking
1.0,,227236.0,262380.0,man-marking
2.0,,217870.0,255700.0,man-marking
2.0,,200752.0,220558.0,man-marking
2.0,,201024.0,262382.0,man-marking
2.0,,240716.0,256460.0,man-marking
2.0,,202325.0,237592.0,man-marking
2.0,,227236.0,256283.0,man-marking
2.0,,226271.0,264816.0,man-marking
3.0,,217870.0,237592.0,man-marking
3.0,,244263.0,262388.0,man-marking
3.0,,201024.0,262384.0,man-marking
3.0,,240716.0,262383.0,man-marking
3.0,,226271.0,264816.0,man-marking
3.0,,227236.0,256283.0,man-marking
3.0,,216435.0,251666.0,man-marking
4.0,,268656.0,256460.0,man-marking
4.0,,201024.0,248823.0,man-marking
4.0,,238516.0,263452.0,man-marking
4.0,,204614.0,244082.0,man-marking
4.0,,227236.0,256283.0,man-marking
4.0,,235569.0,246663.0,man-marking
4.0,,202325.0,,zonal
5.0,,262389.0,264392.0,man-marking
5.0,,262955.0,241390.0,man-marking
5.0,,262388.0,210406.0,man-marking
5.0,,248823.0,227236.0,man-marking
5.0,,239351.0,253002.0,man-marking
5.0,,251666.0,215689.0,man-marking
5.0,,237592.0,231242.0,man-marking
5.0,,264816.0,,zonal
,1.0,217870.0,239351.0,man-marking
,1.0,231485.0,255700.0,man-marking
,1.0,201024.0,262384.0,man-marking
,1.0,204614.0,266162.0,man-marking
,1.0,216435.0,193260.0,man-marking
,1.0,202325.0,,zonal
11.0,,266870.0,230201.0,man-marking
11.0,,256780.0,230429.0,man-marking
11.0,,210041.0,230258.0,man-marking
11.0,,244271.0,230232.0,man-marking
11.0,,173909.0,230433.0,man-marking
11.0,,192557.0,230470.0,man-marking
12.0,,190854.0,230201.0,man-marking
12.0,,210719.0,230451.0,man-marking
12.0,,244629.0,230429.0,man-marking
12.0,,233800.0,230258.0,man-marking
12.0,,232244.0,230470.0,man-marking
12.0,,201262.0,230433.0,man-marking
12.0,,230065.0,230436.0,man-marking
13.0,,190854.0,230201.0,man-marking
13.0,,266870.0,230364.0,man-marking
13.0,,210719.0,230429.0,man-marking
13.0,,192557.0,230470.0,man-marking
13.0,,232244.0,230436.0,man-marking
13.0,,201262.0,230433.0,man-marking
14.0,,210041.0,230232.0,man-marking
14.0,,244629.0,230186.0,man-marking
14.0,,210719.0,230364.0,man-marking
14.0,,229487.0,230258.0,man-marking
14.0,,230065.0,230436.0,man-marking
14.0,,232244.0,230442.0,man-marking
,11.0,230232.0,230065.0,man-marking
,11.0,230316.0,232244.0,man-marking
,11.0,230297.0,231416.0,man-marking
,11.0,230186.0,205402.0,man-marking
,11.0,230429.0,181820.0,man-marking
,11.0,230258.0,,zonal
,11.0,230254.0,,zonal
,12.0,197837.0,230232.0,man-marking
,12.0,244629.0,230429.0,man-marking
,12.0,264589.0,230258.0,man-marking
,12.0,227234.0,230433.0,man-marking
21.0,,225145.0,216158.0,man-marking
21.0,,263544.0,233812.0,man-marking
21.0,,228205.0,253474.0,man-marking
21.0,,247017.0,229071.0,man-marking
21.0,,255254.0,212212.0,man-marking
21.0,,247734.0,243619.0,man-marking
21.0,,238086.0,268259.0,man-marking
,21.0,216158.0,247734.0,man-marking
,21.0,231111.0,219912.0,man-marking
,21.0,177404.0,263172.0,man-marking
,21.0,236636.0,270276.0,man-marking
,21.0,257191.0,233437.0,man-marking
,21.0,245253.0,225139.0,man-marking
,22.0,247734.0,253474.0,man-marking
,22.0,263173.0,236295.0,man-marking
,22.0,264429.0,212212.0,man-marking
,22.0,263172.0,268260.0,man-marking
,22.0,242023.0,272612.0,man-marking
,23.0,225145.0,177404.0,man-marking
,23.0,255254.0,236295.0,man-marking
,23.0,235442.0,221671.0,man-marking
,23.0,241233.0,245253.0,man-marking
,23.0,247734.0,216158.0,man-marking
,23.0,263172.0,215247.0,man-marking
41.0,,241159.0,259159.0,man-marking
41.0,,224221.0,203605.0,man-marking
41.0,,184037.0,228336.0,man-marking
41.0,,206304.0,235424.0,man-marking
41.0,,240947.0,227503.0,man-marking
42.0,,203605.0,206304.0,man-marking
42.0,,259159.0,206516.0,man-marking
42.0,,266882.0,247827.0,man-marking
42.0,,215449.0,235794.0,man-marking
42.0,,250959.0,233866.0,man-marking
42.0,,192641.0,,zonal
42.0,,201860.0,,zonal
,41.0,242752.0,211856.0,man-marking
,41.0,186801.0,259569.0,man-marking
,41.0,224221.0,215449.0,man-marking
,41.0,240947.0,228336.0,man-marking
,41.0,221269.0,242187.0,man-marking
,41.0,206304.0,216354.0,man-marking
,42.0,201860.0,206516.0,man-marking
,42.0,262213.0,200759.0,man-marking
,42.0,192641.0,247827.0,man-marking
,42.0,215449.0,233866.0,man-marking
,42.0,189251.0,271192.0,man-marking
,42.0,228336.0,,zonal
,42.0,236703.0,,zonal
,43.0,242752.0,259569.0,man-marking
,43.0,261300.0,228595.0,man-marking
,43.0,186801.0,189251.0,man-marking
,43.0,267476.0,228336.0,man-marking
,43.0,206304.0,211856.0,man-marking
,43.0,206516.0,265577.0,man-marking
51.0,,190597.0,210320.0,man-marking
51.0,,269856.0,193532.0,man-marking
51.0,,243698.0,235149.0,man-marking
51.0,,260968.0,170320.0,man-marking
51.0,,212418.0,173160.0,man-marking
51.0,,203542.0,193361.0,man-marking
51.0,,256542.0,258966.0,man-marking
52.0,,243698.0,258966.0,man-marking
52.0,,212418.0,248808.0,man-marking
52.0,,262639.0,237819.0,man-marking
52.0,,256542.0,242280.0,man-marking
52.0,,202375.0,254819.0,man-marking
52.0,,190597.0,254541.0,man-marking
,51.0,262639.0,267446.0,man-marking
,51.0,237570.0,170320.0,man-marking
,51.0,190597.0,244270.0,man-marking
,51.0,203455.0,248808.0,man-marking
,51.0,212418.0,254541.0,man-marking
,51.0,256542.0,201335.0,man-marking
81.0,,225641.0,225375.0,man-marking
81.0,,179822.0,222331.0,man-marking
81.0,,239431.0,269875.0,man-marking
81.0,,263044.0,238463.0,man-marking
81.0,,271857.0,233195.0,man-marking
81.0,,242937.0,232411.0,man-marking
81.0,,243857.0,258041.0,man-marking
82.0,,263044.0,225375.0,man-marking
82.0,,225641.0,228579.0,man-marking
82.0,,264216.0,195365.0,man-marking
82.0,,221599.0,238463.0,man-marking
82.0,,216682.0,208448.0,man-marking
82.0,,242937.0,244260.0,man-marking
82.0,,263042.0,232411.0,man-marking
83.0,,252248.0,236703.0,man-marking
83.0,,269625.0,238463.0,man-marking
83.0,,269596.0,262242.0,man-marking
83.0,,251194.0,195365.0,man-marking
83.0,,263044.0,220651.0,man-marking
83.0,,242937.0,232411.0,man-marking
83.0,,269742.0,228941.0,man-marking
83.0,,216682.0,,zonal
84.0,,259214.0,228579.0,man-marking
84.0,,179822.0,220651.0,man-marking
84.0,,239431.0,225375.0,man-marking
84.0,,251194.0,238463.0,man-marking
84.0,,263042.0,262242.0,man-marking
84.0,,263044.0,207791.0,man-marking
84.0,,271857.0,208448.0,man-marking
84.0,,242937.0,,zonal
,81.0,228579.0,225641.0,man-marking
,81.0,222331.0,243856.0,man-marking
,81.0,204638.0,243852.0,man-marking
,81.0,269875.0,269742.0,man-marking
,81.0,195365.0,259281.0,man-marking
,81.0,225375.0,243857.0,man-marking
,82.0,221599.0,228579.0,man-marking
,82.0,269596.0,226166.0,man-marking
,82.0,239431.0,220651.0,man-marking
,82.0,263044.0,238463.0,man-marking
,82.0,242937.0,195365.0,man-marking
,82.0,271857.0,208448.0,man-marking
,82.0,216682.0,267462.0,man-marking
,83.0,226166.0,221599.0,man-marking
,83.0,263354.0,243852.0,man-marking
,83.0,251517.0,263042.0,man-marking
,83.0,236703.0,251196.0,man-marking
,83.0,238463.0,259281.0,man-marking
,83.0,228579.0,251194.0,man-marking
,83.0,225375.0,264384.0,man-marking
,83.0,195365.0,252247.0,man-marking
,84.0,225641.0,238463.0,man-marking
,84.0,239431.0,233195.0,man-marking
,84.0,179822.0,232999.0,man-marking
,84.0,251194.0,236772.0,man-marking
,84.0,221599.0,261241.0,man-marking
,84.0,243856.0,228941.0,man-marking
,85.0,226166.0,243857.0,man-marking
,85.0,251517.0,263042.0,man-marking
,85.0,263352.0,251196.0,man-marking
,85.0,210665.0,259281.0,man-marking
,85.0,238463.0,243852.0,man-marking
,85.0,225375.0,264384.0,man-marking
,85.0,195365.0,218717.0,man-marking
111.0,,243526.0,229155.0,man-marking
111.0,,224808.0,199353.0,man-marking
111.0,,226108.0,189410.0,man-marking
111.0,,241629.0,183714.0,man-marking
111.0,,239807.0,198617.0,man-marking
112.0,,243526.0,248576.0,man-marking
112.0,,205943.0,259022.0,man-marking
112.0,,263785.0,190640.0,man-marking
112.0,,241629.0,209288.0,man-marking
112.0,,239807.0,263298.0,man-marking
112.0,,200054.0,198617.0,man-marking
112.0,,267883.0,243887.0,man-marking
113.0,,243526.0,262212.0,man-marking
113.0,,205943.0,229155.0,man-marking
113.0,,226108.0,263298.0,man-marking
113.0,,236308.0,189410.0,man-marking
113.0,,239807.0,262183.0,man-marking
113.0,,200054.0,245054.0,man-marking
113.0,,253213.0,260290.0,man-marking
114.0,,261446.0,233411.0,man-marking
114.0,,242160.0,260415.0,man-marking
114.0,,248576.0,200054.0,man-marking
114.0,,229155.0,240787.0,man-marking
114.0,,215368.0,241937.0,man-marking
114.0,,189410.0,202851.0,man-marking
114.0,,259022.0,226710.0,man-marking
114.0,,251545.0,,zonal
115.0,,267883.0,229155.0,man-marking
115.0,,205943.0,198617.0,man-marking
115.0,,243526.0,251377.0,man-marking
115.0,,241629.0,199353.0,man-marking
115.0,,200054.0,245054.0,man-marking
115.0,,239807.0,263597.0,man-marking
115.0,,241937.0,183714.0,man-marking
,111.0,201956.0,267883.0,man-marking
,111.0,256261.0,239807.0,man-marking
,111.0,199761.0,210935.0,man-marking
,111.0,215368.0,224030.0,man-marking
,111.0,248576.0,240787.0,man-marking
,112.0,214622.0,248576.0,man-marking
,112.0,243526.0,261446.0,man-marking
,112.0,263785.0,251377.0,man-marking
,112.0,253213.0,198617.0,man-marking
,112.0,241937.0,262183.0,man-marking
,112.0,239807.0,259022.0,man-marking
,112.0,224030.0,212240.0,man-marking
,113.0,212137.0,245537.0,man-marking
,113.0,233152.0,200054.0,man-marking
,113.0,201956.0,241937.0,man-marking
,113.0,243887.0,253213.0,man-marking
,113.0,189410.0,226710.0,man-marking
,113.0,247028.0,253002.0,man-marking
,113.0,248576.0,,zonal
121.0,,229251.0,253052.0,man-marking
121.0,,264480.0,231866.0,man-marking
121.0,,235401.0,186942.0,man-marking
121.0,,251547.0,192985.0,man-marking
121.0,,240992.0,135507.0,man-marking
121.0,,208191.0,259031.0,man-marking
121.0,,252704.0,,zonal
122.0,,236292.0,218667.0,man-marking
122.0,,264403.0,186942.0,man-marking
122.0,,264153.0,257534.0,man-marking
122.0,,240992.0,246191.0,man-marking
122.0,,243417.0,206517.0,man-marking
122.0,,251547.0,,zonal
123.0,,188377.0,229251.0,man-marking
123.0,,268131.0,252704.0,man-marking
123.0,,212218.0,240992.0,man-marking
123.0,,208920.0,253120.0,man-marking
123.0,,186942.0,243417.0,man-marking
123.0,,135507.0,251547.0,man-marking
,121.0,188377.0,208191.0,man-marking
,121.0,203574.0,251547.0,man-marking
,121.0,212218.0,240992.0,man-marking
,121.0,264681.0,264793.0,man-marking
,121.0,263620.0,252704.0,man-marking
,121.0,186942.0,258027.0,man-marking
,121.0,268131.0,,zonal
,122.0,208191.0,218667.0,man-marking
,122.0,264153.0,224081.0,man-marking
,122.0,264480.0,257534.0,man-marking
,122.0,228374.0,230666.0,man-marking
,122.0,243417.0,239085.0,man-marking
,122.0,240992.0,,zonal
,123.0,208191.0,218667.0,man-marking
,123.0,264153.0,186942.0,man-marking
,123.0,236292.0,257534.0,man-marking
,123.0,252704.0,230666.0,man-marking
,123.0,243417.0,239085.0,man-marking
,123.0,251547.0,,zonal
,124.0,235401.0,271574.0,man-marking
,124.0,264153.0,247185.0,man-marking
,124.0,264403.0,218667.0,man-marking
,124.0,208191.0,192985.0,man-marking
,124.0,240992.0,202652.0,man-marking
,124.0,251547.0,230666.0,man-marking
,125.0,208191.0,204485.0,man-marking
,125.0,264480.0,218667.0,man-marking
,125.0,264403.0,206517.0,man-marking
,125.0,251547.0,259031.0,man-marking
,125.0,243417.0,246191.0,man-marking
131.0,,228881.0,207593.0,man-marking
131.0,,232756.0,268267.0,man-marking
131.0,,179645.0,245054.0,man-marking
131.0,,236723.0,189410.0,man-marking
131.0,,219809.0,212240.0,man-marking
131.0,,241096.0,260290.0,man-marking
131.0,,230938.0,244390.0,man-marking
132.0,,210413.0,243887.0,man-marking
132.0,,179645.0,198617.0,man-marking
132.0,,256261.0,189410.0,man-marking
132.0,,219809.0,263298.0,man-marking
133.0,,262212.0,236723.0,man-marking
133.0,,242160.0,230938.0,man-marking
133.0,,199761.0,241096.0,man-marking
133.0,,243887.0,252027.0,man-marking
133.0,,190640.0,203551.0,man-marking
133.0,,189410.0,220018.0,man-marking
133.0,,259022.0,251470.0,man-marking
,131.0,212137.0,230938.0,man-marking
,131.0,272452.0,241096.0,man-marking
,131.0,199761.0,231410.0,man-marking
,131.0,233152.0,266891.0,man-marking
,131.0,259022.0,220018.0,man-marking
,131.0,189410.0,,zonal
,131.0,199353.0,,zonal
,131.0,251545.0,,zonal
,132.0,262212.0,226754.0,man-marking
,132.0,242160.0,251804.0,man-marking
,132.0,248576.0,229758.0,man-marking
,132.0,259022.0,252027.0,man-marking
,132.0,199353.0,231410.0,man-marking
,132.0,247028.0,241721.0,man-marking
,132.0,251992.0,,zonal
,133.0,255654.0,259022.0,man-marking
,133.0,266293.0,199353.0,man-marking
,133.0,179645.0,215368.0,man-marking
,133.0,236723.0,189410.0,man-marking
,133.0,241096.0,245054.0,man-marking
,133.0,226754.0,244390.0,man-marking
,133.0,230938.0,265749.0,man-marking
,134.0,261446.0,203551.0,man-marking
,134.0,256261.0,219809.0,man-marking
,134.0,233152.0,230938.0,man-marking
,134.0,199761.0,229758.0,man-marking
,134.0,229155.0,220018.0,man-marking
,134.0,189410.0,213135.0,man-marking
141.0,,258465.0,228349.0,man-marking
141.0,,245100.0,199652.0,man-marking
141.0,,199384.0,255360.0,man-marking
141.0,,211812.0,231826.0,man-marking
141.0,,231840.0,208596.0,man-marking
141.0,,266459.0,251349.0,man-marking
142.0,,258822.0,252802.0,man-marking
142.0,,211812.0,193352.0,man-marking
142.0,,262404.0,236699.0,man-marking
142.0,,263318.0,253473.0,man-marking
142.0,,231840.0,255360.0,man-marking
143.0,,258465.0,252802.0,man-marking
143.0,,220995.0,254982.0,man-marking
143.0,,262404.0,228349.0,man-marking
143.0,,211812.0,219932.0,man-marking
143.0,,263319.0,202685.0,man-marking
144.0,,252318.0,252802.0,man-marking
144.0,,263318.0,226356.0,man-marking
144.0,,262404.0,253473.0,man-marking
144.0,,199384.0,236699.0,man-marking
144.0,,263319.0,255360.0,man-marking
144.0,,231840.0,266877.0,man-marking
144.0,,258822.0,202685.0,man-marking
144.0,,211812.0,238755.0,man-marking
145.0,,263319.0,211147.0,man-marking
145.0,,252318.0,199652.0,man-marking
145.0,,263318.0,225439.0,man-marking
145.0,,262241.0,266877.0,man-marking
145.0,,231840.0,251349.0,man-marking
145.0,,258273.0,226356.0,man-marking
,141.0,252802.0,211812.0,man-marking
,141.0,241854.0,266459.0,man-marking
,141.0,239580.0,229513.0,man-marking
,141.0,173306.0,231840.0,man-marking
,141.0,236699.0,258465.0,man-marking
,141.0,211147.0,271004.0,man-marking
,141.0,224656.0,263094.0,man-marking
,142.0,193352.0,263319.0,man-marking
,142.0,241854.0,211812.0,man-marking
,142.0,203884.0,245122.0,man-marking
,142.0,252802.0,204987.0,man-marking
,142.0,236699.0,262241.0,man-marking
,142.0,224656.0,251499.0,man-marking
,142.0,228349.0,263095.0,man-marking
,143.0,263319.0,254982.0,man-marking
,143.0,252318.0,252802.0,man-marking
,143.0,263318.0,266257.0,man-marking
,143.0,245100.0,253473.0,man-marking
,143.0,225781.0,236699.0,man-marking
,143.0,231840.0,226356.0,man-marking
,143.0,211812.0,219932.0,man-marking
151.0,,204616.0,233442.0,man-marking
151.0,,211189.0,238473.0,man-marking
151.0,,257786.0,202151.0,man-marking
151.0,,245784.0,250931.0,man-marking
151.0,,222355.0,238072.0,man-marking
151.0,,202828.0,240193.0,man-marking
,151.0,204616.0,252014.0,man-marking
,151.0,257786.0,183632.0,man-marking
,151.0,235863.0,232610.0,man-marking
,151.0,245784.0,204497.0,man-marking
,151.0,252290.0,240193.0,man-marking
,151.0,222355.0,204468.0,man-marking
,151.0,231919.0,206606.0,man-marking
,152.0,229456.0,252014.0,man-marking
,152.0,211189.0,199288.0,man-marking
,152.0,235863.0,183632.0,man-marking
,152.0,221448.0,202151.0,man-marking
,153.0,252825.0,252014.0,man-marking
,153.0,211189.0,199288.0,man-marking
,153.0,235863.0,238473.0,man-marking
,153.0,221448.0,239073.0,man-marking
,153.0,252290.0,204497.0,man-marking
,153.0,231919.0,183632.0,man-marking
,153.0,245784.0,204468.0,man-marking
,154.0,211189.0,220172.0,man-marking
,154.0,235863.0,233442.0,man-marking
,154.0,268860.0,237540.0,man-marking
,154.0,240385.0,240193.0,man-marking
161.0,,230672.0,255254.0,man-marking
161.0,,263963.0,263172.0,man-marking
161.0,,202697.0,212013.0,man-marking
161.0,,262118.0,238086.0,man-marking
162.0,,235442.0,236316.0,man-marking
162.0,,255254.0,239452.0,man-marking
162.0,,205857.0,202282.0,man-marking
162.0,,242023.0,237916.0,man-marking
162.0,,212013.0,203362.0,man-marking
162.0,,263172.0,256268.0,man-marking
162.0,,247734.0,,zonal
163.0,,225145.0,260927.0,man-marking
163.0,,233437.0,199576.0,man-marking
163.0,,235442.0,203362.0,man-marking
163.0,,242023.0,236316.0,man-marking
163.0,,212013.0,226093.0,man-marking
163.0,,263172.0,268787.0,man-marking
164.0,,236316.0,263172.0,man-marking
164.0,,202697.0,219912.0,man-marking
164.0,,230672.0,260945.0,man-marking
164.0,,227927.0,238086.0,man-marking
164.0,,262118.0,233437.0,man-marking
164.0,,237560.0,251408.0,man-marking
165.0,,235442.0,262118.0,man-marking
165.0,,255254.0,237560.0,man-marking
165.0,,263544.0,239452.0,man-marking
165.0,,233437.0,225782.0,man-marking
165.0,,247734.0,256268.0,man-marking
165.0,,263172.0,237328.0,man-marking
165.0,,212013.0,,zonal
,161.0,262118.0,263172.0,man-marking
,161.0,220570.0,212013.0,man-marking
,161.0,263963.0,228207.0,man-marking
,161.0,231318.0,260945.0,man-marking
,162.0,263172.0,236316.0,man-marking
,162.0,255254.0,263620.0,man-marking
,162.0,233437.0,203362.0,man-marking
,162.0,242023.0,202282.0,man-marking
,162.0,247734.0,263953.0,man-marking
,162.0,212013.0,221841.0,man-marking
171.0,,193860.0,237592.0,man-marking
171.0,,203850.0,262388.0,man-marking
171.0,,243442.0,251666.0,man-marking
171.0,,265425.0,202518.0,man-marking
171.0,,243525.0,238989.0,man-marking
171.0,,262384.0,239351.0,man-marking
171.0,,253462.0,256283.0,man-marking
172.0,,262388.0,193860.0,man-marking
172.0,,262389.0,244795.0,man-marking
172.0,,229507.0,264877.0,man-marking
172.0,,239351.0,200918.0,man-marking
172.0,,237592.0,255736.0,man-marking
172.0,,251666.0,267864.0,man-marking
,171.0,237592.0,239977.0,man-marking
,171.0,262955.0,223793.0,man-marking
,171.0,229507.0,255736.0,man-marking
,171.0,262388.0,244795.0,man-marking
,171.0,251666.0,258822.0,man-marking
,171.0,220558.0,263046.0,man-marking
,172.0,193860.0,248823.0,man-marking
,172.0,265576.0,220558.0,man-marking
,172.0,250813.0,262384.0,man-marking
,172.0,209997.0,251666.0,man-marking
,172.0,244795.0,237592.0,man-marking
,172.0,264877.0,263449.0,man-marking
,172.0,223793.0,264816.0,man-marking
,172.0,253462.0,,zonal
181.0,,173546.0,230225.0,man-marking
181.0,,224221.0,230347.0,man-marking
181.0,,250954.0,230329.0,man-marking
181.0,,221269.0,230349.0,man-marking
182.0,,236142.0,259320.0,man-marking
182.0,,230280.0,247827.0,man-marking
182.0,,233978.0,171972.0,man-marking
182.0,,230197.0,235794.0,man-marking
182.0,,230329.0,184111.0,man-marking
182.0,,230181.0,,zonal
182.0,,230347.0,,zonal
183.0,,230329.0,186801.0,man-marking
183.0,,236142.0,206304.0,man-marking
183.0,,230225.0,237825.0,man-marking
183.0,,230197.0,197756.0,man-marking
183.0,,230453.0,233866.0,man-marking
183.0,,230347.0,,zonal
184.0,,236113.0,247827.0,man-marking
184.0,,230225.0,221269.0,man-marking
184.0,,233978.0,200759.0,man-marking
184.0,,230230.0,197756.0,man-marking
184.0,,230349.0,233866.0,man-marking
184.0,,230197.0,,zonal
184.0,,230329.0,,zonal
184.0,,230181.0,,zonal
184.0,,230347.0,,zonal
,181.0,186801.0,236142.0,man-marking
,181.0,241159.0,230329.0,man-marking
,181.0,223306.0,230349.0,man-marking
,181.0,206516.0,230384.0,man-marking
,181.0,224221.0,230233.0,man-marking
,182.0,190456.0,236142.0,man-marking
,182.0,224221.0,230225.0,man-marking
,182.0,241159.0,230453.0,man-marking
,182.0,267476.0,230349.0,man-marking
,182.0,261300.0,230283.0,man-marking
,182.0,259320.0,230459.0,man-marking
,183.0,190456.0,230329.0,man-marking
,183.0,241159.0,236142.0,man-marking
,183.0,250954.0,230233.0,man-marking
,183.0,267476.0,230524.0,man-marking
,183.0,259320.0,230459.0,man-marking
,183.0,221269.0,230453.0,man-marking
,184.0,236113.0,247827.0,man-marking
,184.0,230225.0,259320.0,man-marking
,184.0,230230.0,206304.0,man-marking
,184.0,230184.0,235794.0,man-marking
,184.0,230329.0,200759.0,man-marking
,184.0,230197.0,236461.0,man-marking
191.0,,231936.0,230269.0,man-marking
191.0,,228295.0,230373.0,man-marking
191.0,,232580.0,230425.0,man-marking
191.0,,251569.0,230239.0,man-marking
191.0,,199503.0,230440.0,man-marking
192.0,,201118.0,230371.0,man-marking
192.0,,231936.0,230331.0,man-marking
192.0,,260654.0,230239.0,man-marking
192.0,,251530.0,230425.0,man-marking
192.0,,199503.0,230269.0,man-marking
192.0,,209989.0,230373.0,man-marking
192.0,,228295.0,230440.0,man-marking
193.0,,230241.0,226110.0,man-marking
193.0,,230229.0,259097.0,man-marking
193.0,,230282.0,209989.0,man-marking
193.0,,230353.0,251566.0,man-marking
193.0,,230239.0,231448.0,man-marking
193.0,,230331.0,193301.0,man-marking
193.0,,230248.0,240273.0,man-marking
194.0,,236112.0,211454.0,man-marking
194.0,,230282.0,209989.0,man-marking
194.0,,236109.0,226110.0,man-marking
194.0,,230248.0,247166.0,man-marking
194.0,,230331.0,241928.0,man-marking
194.0,,230353.0,230666.0,man-marking
,191.0,230241.0,251568.0,man-marking
,191.0,230229.0,260144.0,man-marking
,191.0,236109.0,260141.0,man-marking
,191.0,230248.0,259097.0,man-marking
,191.0,230371.0,236988.0,man-marking
,191.0,230331.0,193301.0,man-marking
,192.0,230241.0,259403.0,man-marking
,192.0,236109.0,211454.0,man-marking
,192.0,230229.0,241928.0,man-marking
,192.0,230353.0,251568.0,man-marking
,192.0,230331.0,259095.0,man-marking
,193.0,260653.0,230371.0,man-marking
,193.0,228295.0,230239.0,man-marking
,193.0,206654.0,230373.0,man-marking
,193.0,232580.0,230425.0,man-marking
,193.0,199503.0,230353.0,man-marking
201.0,,247623.0,236532.0,man-marking
201.0,,180706.0,203570.0,man-marking
201.0,,190324.0,193910.0,man-marking
201.0,,169595.0,251314.0,man-marking
201.0,,242794.0,253407.0,man-marking
201.0,,190875.0,261374.0,man-marking
,201.0,188829.0,239360.0,man-marking
,201.0,213414.0,228815.0,man-marking
,201.0,180706.0,235945.0,man-marking
,201.0,190875.0,198329.0,man-marking
,201.0,183394.0,233419.0,man-marking
231.0,,220093.0,212381.0,man-marking
231.0,,187598.0,222573.0,man-marking
231.0,,238160.0,225128.0,man-marking
231.0,,230681.0,251769.0,man-marking
231.0,,240679.0,210833.0,man-marking
231.0,,208461.0,271460.0,man-marking
232.0,,220093.0,225128.0,man-marking
232.0,,208165.0,188616.0,man-marking
232.0,,266304.0,225381.0,man-marking
232.0,,230681.0,222573.0,man-marking
232.0,,208461.0,189485.0,man-marking
232.0,,240679.0,271460.0,man-marking
232.0,,217196.0,,zonal
,231.0,252440.0,212381.0,man-marking
,231.0,240679.0,251769.0,man-marking
,231.0,266304.0,192587.0,man-marking
,231.0,230681.0,222573.0,man-marking
,231.0,208461.0,236522.0,man-marking
,231.0,220093.0,188616.0,man-marking
,231.0,216150.0,189485.0,man-marking
251.0,,255580.0,253149.0,man-marking
